species,Label,Estimate,se,cv,lcl,ucl,df
GRSP,TOKA_2011,0.8582459429871219,0.14592833516965723,0.17003090589831882,0.6129080152983885,1.201788980186944,70.31789442676383
GRSP,TOKA_2012,0.9206638297498215,0.11497967809541197,0.12488779767383303,0.718750231482476,1.1792996374572637,79.8444211177101
GRSP,TOKA_2013,0.7268398655919643,0.11899801910017563,0.16371971975320782,0.5253904294731189,1.005530669341541,67.71310067225856
GRSP,TOKA_2014,0.7783794196975764,0.10963214178480543,0.14084666039526172,0.5885657095226989,1.02940846061194,70.08425452201504
GRSP,TOKA_2015,1.3579791488809867,0.2659179487931453,0.1958188746949975,0.9089467548189011,2.028839818194796,22.8061455499669
GRSP,TOKA_2016,0.4742813668408171,0.17268505059427683,0.3640983236270276,0.22807641809554358,0.9862607314280202,21.794352569364808
GRSP,TOKA_2017,0.3836099290624257,0.10995842891002004,0.28664124825644505,0.2162356165461955,0.6805381094276921,30.80026946335671
GRSP,TOKA_2018,0.6236754975724598,0.15189715543867935,0.24355158416501949,0.3826147429040266,1.016613012138487,32.625264500885315
GRSP,TOKA_2019,0.35292113473743164,0.11320400905208167,0.3207629068072215,0.1863272897242027,0.668465298500919,30.424603597051444
GRSP,TOKA_2020,0.506365106362402,0.10500385014108739,0.20736786327045384,0.3334845889083405,0.7688679761207217,32.587091158578744
GRSP,TOKA_2021,0.3989543262249227,0.13156053689909658,0.3297634046081889,0.20705751590527133,0.76869730479332,30.345293923269946
GRSP,TOKA_2024,0.2381027145904711,0.08200886027896014,0.34442639774188505,0.12007416287342068,0.47214905637206606,29.187321883385994
SAVS,TOKA_2011,0.5213311250190014,0.13111139660878013,0.25149351403870507,0.3178890437444817,0.8549717181572277,64.33654209923398
SAVS,TOKA_2012,0.3787997090655305,0.06814946351299192,0.17990896476956478,0.26529156372490104,0.540873662069874,67.67975874136361
SAVS,TOKA_2013,0.1541781271986019,0.04921482919230567,0.3192075950495263,0.08266713338634825,0.28754952461426253,59.074761035670846
SAVS,TOKA_2014,0.20771998591666185,0.05438649403022526,0.26182600480266427,0.12406977248841032,0.34776877303654863,58.48801483855379
SAVS,TOKA_2015,0.10985191562900386,0.06018869854169778,0.5479075917526044,0.03777236009720197,0.31947814053206836,20.3641050195259
SAVS,TOKA_2016,0.05326153485042611,0.027703894198265657,0.5201482510045242,0.01927491142178484,0.14717531160309066,21.424807760388138
SAVS,TOKA_2017,0.161116142922539,0.061930796955897656,0.38438604495188655,0.07549608907811872,0.3438378309024173,30.086979167553107
SAVS,TOKA_2018,0.12756996653690772,0.051142949385091216,0.40090117426106614,0.05805109649259338,0.2803408952715326,31.031468808125247
SAVS,TOKA_2019,0.0878815325032031,0.05349330563018825,0.6086979153241158,0.02789625924367591,0.27685302490377406,29.426630271974446
SAVS,TOKA_2020,0.10252845458707027,0.07521951793148167,0.7336452912942618,0.026804897339803506,0.39217027645180264,29.292729082204715
SAVS,TOKA_2021,0.029293844167734364,0.02933332119778187,1.0013476220403668,0.005330020825170063,0.16099924076677966,29.15661072653177
SAVS,TOKA_2024,0.015151988362621221,0.015172407516094014,1.001347622040363,0.002749659056356471,0.08349498851876762,28.151211345904343
