PointID,CollectDate,County,Ranch,Depth,Olsen P,Sand,Silt,Clay,Texture,pH,CEC,Organic Carbon,Calcium,Magnesium,Potassium,Sodium,Total Carbon,Total Nitrogen
TK-001A,17-Feb-15,San Mateo,TOMKAT,0 to 10,4.7,55,26.2,18.8,Sandy Loam,5.8,26,2.6,9.3,7.4,0.68,0.17,2.6,0.19
TK-001B,17-Feb-15,San Mateo,TOMKAT,10 to 40,< 2.0,55,23.8,21.5,Sandy Clay Loam,5.8,23,1.6,9,8.2,0.39,0.25,1.6,0.12
TK-020A,17-Feb-15,San Mateo,TOMKAT,0 to 10,9.6,30,35,35,Clay Loam,5.7,45,4.6,19,10,1.1,0.22,4.6,0.35
TK-020B,17-Feb-15,San Mateo,TOMKAT,10 to 40,4,33.8,35,31.2,Clay Loam,5.7,40,2,18,11,0.6,0.21,2,0.18
TK-035A,17-Feb-15,San Mateo,TOMKAT,0 to 10,11,41.2,30,28.8,Clay Loam,6.3,46,3.5,23,10,1.1,0.22,3.5,0.28
TK-035B,17-Feb-15,San Mateo,TOMKAT,10 to 40,4.4,48.8,25,26.2,Sandy Clay Loam,5.9,38,1.8,22,10,0.49,0.31,1.8,0.16
TK-045A,17-Feb-15,San Mateo,TOMKAT,0 to 10,8.4,QNS,QNS,QNS,QNS,6.1,43,3.7,17,9.5,1.2,0.22,3.7,0.34
TK-045B,17-Feb-15,San Mateo,TOMKAT,10 to 40,2.9,32.5,31.2,36.2,Clay Loam,5.7,44,2.1,18,12,0.69,0.14,2.1,0.22
TK-055A,17-Feb-15,San Mateo,TOMKAT,0 to 10,6.6,26.2,37.5,36.2,Clay Loam,5.1,27,3.2,8.4,4.7,1.1,0.14,3.2,0.31
TK-055B,17-Feb-15,San Mateo,TOMKAT,10 to 40,3.9,25,36.2,38.8,Clay Loam,5,26,2.5,8.1,5.1,0.75,0.15,2.5,0.26
TK-067A,17-Feb-15,San Mateo,TOMKAT,0 to 10,9.3,20,31.2,48.8,Clay,5.9,50,3.2,23,14,0.82,0.27,3.2,0.33
TK-067B,17-Feb-15,San Mateo,TOMKAT,10 to 40,3.6,17.5,31.2,51.2,Clay,5.7,58,2.3,24,15,0.64,0.6,2.3,0.24
TK-071A,17-Feb-15,San Mateo,TOMKAT,0 to 10,22,QNS,QNS,QNS,QNS,5.8,65,10,23,11,2,0.23,10,0.61
TK-071B,17-Feb-15,San Mateo,TOMKAT,10 to 40,11,22.5,37.5,40,Clay Loam,5.6,60,3.8,17,12,1.2,0.28,3.8,0.3
TK-072A,17-Feb-15,San Mateo,TOMKAT,0 to 10,4.2,27.5,36.2,36.2,Clay Loam,5.6,33,4.9,9.8,6.8,1.7,0.14,4.9,0.4
TK-072B,17-Feb-15,San Mateo,TOMKAT,10 to 40,2.3,20,40,40,Clay Loam,5.4,24,2.3,5,5.8,1,0.17,2.3,0.24
TK-089A,17-Feb-15,San Mateo,TOMKAT,0 to 10,41,QNS,QNS,QNS,QNS,6,59,8.6,23,8.5,1.6,< 0.090,8.6,0.55
TK-089B,17-Feb-15,San Mateo,TOMKAT,10 to 40,21,QNS,QNS,QNS,QNS,6.1,62,5.9,21,8.7,0.85,0.21,5.9,0.41
TK-091A,17-Feb-15,San Mateo,TOMKAT,0 to 10,13,25,40,35,Clay Loam,6,41,3.3,18,8.7,1,< 0.090,3.3,0.27
TK-091B,17-Feb-15,San Mateo,TOMKAT,10 to 40,4.4,26.2,40,33.8,Clay Loam,5.9,39,2.5,16,8.5,0.59,0.27,2.5,0.25
TK-122A,17-Feb-15,San Mateo,TOMKAT,0 to 10,15,25,38.8,36.2,Clay Loam,6,45,4.4,17,12,1.1,0.31,4.4,0.29
TK-122B,17-Feb-15,San Mateo,TOMKAT,10 to 40,5.3,30,35,35,Clay Loam,6.1,39,1.5,16,13,0.75,0.5,1.5,0.16
TK-147A,17-Feb-15,San Mateo,TOMKAT,0 to 10,12,37.5,28.8,33.8,Clay Loam,6,45,3.4,18,13,0.93,0.28,3.4,0.3
TK-147B,17-Feb-15,San Mateo,TOMKAT,10 to 40,2.8,43.8,26.2,30,Clay Loam,6.3,40,1.7,17,13,0.41,0.24,1.7,0.15
TK-154A,17-Feb-15,San Mateo,TOMKAT,0 to 10,8.3,17.5,41.2,41.2,Silty Clay,5.7,40,2.6,14,11,0.71,0.24,2.6,0.29
TK-154B,17-Feb-15,San Mateo,TOMKAT,10 to 40,3.3,17.5,40,42.5,Silty Clay,5.4,47,1.9,15,11,0.57,0.33,1.9,0.24
TK-161A,17-Feb-15,San Mateo,TOMKAT,0 to 10,4.7,22.5,38.8,38.8,Clay Loam,5.6,56,5,15,8.9,1.1,0.2,5,0.41
TK-161B,17-Feb-15,San Mateo,TOMKAT,10 to 40,< 2.0,17.5,40,42.5,Silty Clay,5.3,34,2.2,10,8.7,0.68,0.38,2.2,0.25
TK-006A,19-Jan-15,San Mateo,TOMKAT,0 to 10,3.8,36.2,46.2,17.5,Loam,5.3,19,2.9,5.9,3.7,0.56,0.29,2.9,0.24
TK-006B,19-Jan-15,San Mateo,TOMKAT,10 to 40,< 2.0,33.8,43.8,22.5,Loam,5.4,20,2,5.5,4.6,0.33,0.48,2,0.16
TK-007A,19-Jan-15,San Mateo,TOMKAT,0 to 10,3.2,41.2,38.8,20,Loam,5.5,16,2,4.4,4.3,0.62,0.47,2,0.15
TK-007B,19-Jan-15,San Mateo,TOMKAT,10 to 40,< 2.0,33.8,38.8,27.5,Clay Loam,5.1,22,1.4,5.1,7.2,0.59,0.76,1.4,0.13
TK-016A,19-Jan-15,San Mateo,TOMKAT,0 to 10,4.5,23.8,41.2,35,Clay Loam,5.6,43,3.6,13,12,1.1,0.47,3.6,0.29
TK-016B,19-Jan-15,San Mateo,TOMKAT,10 to 40,3,25,40,35,Clay Loam,5.7,42,2.2,13,13,0.66,0.61,2.2,0.21
TK-018A,19-Jan-15,San Mateo,TOMKAT,0 to 10,2.8,25,40,35,Clay Loam,5.9,34,3.3,11,9.1,0.77,0.58,3.3,0.25
TK-018B,19-Jan-15,San Mateo,TOMKAT,10 to 40,< 2.0,21.9,40,38.1,Clay Loam,5.8,32,2.4,9.8,8.7,0.54,0.73,2.4,0.21
TK-022A,19-Jan-15,San Mateo,TOMKAT,0 to 10,11,22.5,36.2,41.2,Clay,5.9,44,3.1,15,12,0.82,0.56,3.1,0.29
TK-022B,19-Jan-15,San Mateo,TOMKAT,10 to 40,2.2,21.2,35,43.8,Clay,5.2,41,2.1,13,12,0.58,0.62,2.1,0.19
TK-030A,19-Jan-15,San Mateo,TOMKAT,0 to 10,8.3,22.5,42.5,35,Clay Loam,5.5,33,4.5,9.2,6.3,1.1,0.31,4.5,0.32
TK-030B,19-Jan-15,San Mateo,TOMKAT,10 to 40,3.5,21.2,41.2,37.5,Clay Loam,5.6,36,2.8,8,6.4,0.85,0.42,2.8,0.24
TK-041A,19-Jan-15,San Mateo,TOMKAT,0 to 10,10,26.2,40,33.8,Clay Loam,5.6,32,3.8,11,5.1,0.99,0.35,3.8,0.36
TK-041B,19-Jan-15,San Mateo,TOMKAT,10 to 40,4.6,23.8,41.2,35,Clay Loam,5.7,30,2.7,10,4.8,0.63,0.39,2.7,0.27
TK-057A,19-Jan-15,San Mateo,TOMKAT,0 to 10,5.5,23.8,38.8,37.5,Clay Loam,5.6,28,3.1,11,6.3,0.72,0.44,3.1,0.3
TK-057B,19-Jan-15,San Mateo,TOMKAT,10 to 40,< 2.0,21.2,38.8,40,Clay,5.8,28,2.2,10,6.4,0.48,0.52,2.2,0.23
TK-060A,19-Jan-15,San Mateo,TOMKAT,0 to 10,12,41.2,27.5,31.2,Clay Loam,5.8,39,4.3,18,8,1,0.26,4.3,0.34
TK-060B,19-Jan-15,San Mateo,TOMKAT,10 to 40,6.2,39.4,28.8,31.9,Clay Loam,5.7,37,2.4,17,8.4,0.67,0.36,2.4,0.23
TK-061A,19-Jan-15,San Mateo,TOMKAT,0 to 10,5.7,28.8,36.2,35,Clay Loam,5.9,34,3.6,13,7.5,1,0.36,3.6,0.27
TK-061B,19-Jan-15,San Mateo,TOMKAT,10 to 40,3.1,25,32.5,42.5,Clay,5.9,33,2.2,12,7.4,0.76,0.33,2.2,0.22
TK-064A,19-Jan-15,San Mateo,TOMKAT,0 to 10,28,30,35,35,Clay Loam,5.7,48,7.9,18,5.9,2.7,< 0.090,7.9,0.65
TK-064B,19-Jan-15,San Mateo,TOMKAT,10 to 40,19,27.5,32.5,40,Clay,5.5,38,5.1,13,4.8,1.9,0.1,5.1,0.48
TK-068A,19-Jan-15,San Mateo,TOMKAT,0 to 10,11,30,35,35,Clay Loam,5.5,33,2.7,13,8.5,0.64,0.41,2.7,0.28
TK-068B,19-Jan-15,San Mateo,TOMKAT,10 to 40,5,23.8,37.5,38.8,Clay Loam,5.5,36,2.2,14,9.1,0.44,0.41,2.2,0.26
TK-080A,19-Jan-15,San Mateo,TOMKAT,0 to 10,8.7,21.2,36.2,42.5,Clay,5.7,39,3.3,13,10,0.9,0.3,3.3,0.3
TK-080B,19-Jan-15,San Mateo,TOMKAT,10 to 40,5,21.2,35,43.8,Clay,5.2,42,1.8,13,11,0.65,0.45,1.8,0.2
TK-099A,19-Jan-15,San Mateo,TOMKAT,0 to 10,9.4,40,31.2,28.8,Clay Loam,5.6,35,3,13,8,1,0.12,3,0.29
TK-099B,19-Jan-15,San Mateo,TOMKAT,10 to 40,3.7,41.9,29.4,28.8,Clay Loam,5.5,34,2,14,8.8,0.72,0.22,2,0.21
TK-115A,19-Jan-15,San Mateo,TOMKAT,0 to 10,6,31.2,33.8,35,Clay Loam,5.7,38,3.4,12,10,1.2,0.37,3.4,0.29
TK-115B,19-Jan-15,San Mateo,TOMKAT,10 to 40,2.4,25,33.8,41.2,Clay,5.4,37,2.4,11,11,0.8,0.41,2.4,0.24
TK-119A,19-Jan-15,San Mateo,TOMKAT,0 to 10,15,28.8,40,31.2,Clay Loam,5.8,38,3.5,12,10,1.1,0.18,3.5,0.27
TK-119B,19-Jan-15,San Mateo,TOMKAT,10 to 40,5.4,23.8,41.2,35,Clay Loam,5.3,40,2.1,12,12,0.68,0.53,2.1,0.19
TK-126A,19-Jan-15,San Mateo,TOMKAT,0 to 10,8.6,28.8,36.2,35,Clay Loam,5.8,43,4.8,16,10,0.94,0.5,4.8,0.42
TK-126B,19-Jan-15,San Mateo,TOMKAT,10 to 40,2.4,23.8,37.5,38.8,Clay Loam,5.6,40,2.6,16,11,0.7,0.46,2.6,0.25
TK-129A,19-Jan-15,San Mateo,TOMKAT,0 to 10,8.7,22.5,42.5,35,Clay Loam,5.6,33,3.7,12,7,0.84,0.3,3.7,0.35
TK-129B,19-Jan-15,San Mateo,TOMKAT,10 to 40,3.5,21.2,41.2,37.5,Clay Loam,5.5,35,2.6,12,7.1,0.59,0.35,2.6,0.25
TK-135A,19-Jan-15,San Mateo,TOMKAT,0 to 10,9.3,30,40,30,Clay Loam,5.8,32,3.2,12,6,0.92,0.3,3.2,0.29
TK-135B,19-Jan-15,San Mateo,TOMKAT,10 to 40,3.9,29.4,36.9,33.8,Clay Loam,5.6,29,2.2,12,5.8,0.59,0.34,2.2,0.21
TK-137A,19-Jan-15,San Mateo,TOMKAT,0 to 10,7.5,38.8,31.2,30,Clay Loam,5.6,41,4,15,7.8,0.67,0.37,4,0.28
TK-137B,19-Jan-15,San Mateo,TOMKAT,10 to 40,2.7,38.8,28.8,32.5,Clay Loam,5.7,39,2.6,15,8.2,0.36,0.44,2.6,0.21
TK-169A,19-Jan-15,San Mateo,TOMKAT,0 to 10,12,26.2,35,38.8,Clay Loam,5.2,32,3.4,10,8.4,1.2,0.27,3.4,0.33
TK-169B,19-Jan-15,San Mateo,TOMKAT,10 to 40,4.7,26.2,32.5,41.2,Clay Loam,5,33,2,8.8,8.5,0.79,0.37,2,0.22
TK-170A,19-Jan-15,San Mateo,TOMKAT,0 to 10,5.4,36.2,33.8,30,Clay Loam,5.4,33,3.2,13,7.7,0.81,0.31,3.2,0.27
TK-170B,19-Jan-15,San Mateo,TOMKAT,10 to 40,2.2,37.5,32.5,30,Clay Loam,5.3,34,2.3,13,8.2,0.54,0.35,2.3,0.2
TK-029A,19-Jan-15,San Mateo,TOMKAT,0 to 10,3.5,20,43.8,36.5,Clay Loam,5.3,33,3.7,11,8.8,1,0.86,3.7,0.29
TK-029B,19-Jan-15,San Mateo,TOMKAT,10 to 40,2.5,20,40,40,Clay Loam,5.2,33,2.7,9.5,8.8,0.77,0.65,2.7,0.22
TK-034A,19-Jan-15,San Mateo,TOMKAT,0 to 10,34,23.8,37.5,38.8,Clay Loam,5.5,47,5,18,10,0.92,0.51,5,QNS
TK-034B,19-Jan-15,San Mateo,TOMKAT,10 to 40,21,41.2,42.5,16.2,Loam,5.7,49,2.9,20,10,0.72,0.69,2.9,0.27
TK-104A,19-Jan-15,San Mateo,TOMKAT,0 to 10,4.2,20,38.8,41.2,Clay,5.1,18,2.3,6.2,3.9,0.41,0.26,2.3,0.17
TK-104B,19-Jan-15,San Mateo,TOMKAT,10 to 40,3.2,40,41.2,18.8,Loam,5,19,1.8,6.4,4,0.2,0.28,1.8,0.14
TK-111A,19-Jan-15,San Mateo,TOMKAT,0 to 10,3.5,43.8,31.2,25,Loam,5.3,26,3.3,7.3,6.5,0.62,0.32,3.3,0.26
TK-111B,19-Jan-15,San Mateo,TOMKAT,10 to 40,2.1,47.5,26.2,26.2,Loam,5.4,22,1.7,6.2,6.9,0.37,0.42,1.7,0.13
